40
2
time acrolein c2cho ccho_r ch2om ch2or ch3cho ch3coc2h5 ch3coch3 ch3cocho ch3coo2h ch3o2h ch3ono2 cl2 cooh fmcl gly glyald h2o2 hcochest hcocho hcochob hno2 hno3 hno4 hno4_2 hocl hyac mek n2o n2o5 no2 no3o no3o2 ntr o2 o31d o33p pacd pan pooh
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0000e+00 1.0750e-09 1.1950e-11 2.4700e-12 6.6690e-11 3.3720e-11 2.3860e-12 4.2430e-12 3.0660e-13 4.0830e-10 7.7890e-13 9.3200e-12 5.7190e-13 6.4250e-09 8.3270e-12 5.3350e-14 3.0939e-10 6.7013e-12 1.2040e-11 4.0830e-10 4.7150e-11 2.6224e-10 4.7510e-09 4.1870e-13 7.1200e-12 7.1200e-12 6.3720e-10 1.5124e-12 4.2430e-12 0.0000e+00 7.7920e-11 3.2570e-08 8.0930e-07 9.3820e-08 2.0160e-12 0.0000e+00 1.2090e-11 1.8710e-09 1.9380e-13 1.7940e-12 9.3200e-12
5.0000e+00 1.2620e-05 1.0470e-07 1.6200e-08 7.8440e-07 3.6010e-07 1.5630e-08 3.6490e-08 1.4990e-09 4.6140e-06 8.2740e-09 1.0580e-07 4.9240e-09 7.5590e-05 9.4600e-08 2.2660e-10 3.4940e-06 5.3470e-08 1.3600e-07 4.6140e-06 5.2740e-07 2.9666e-06 5.4740e-05 3.7080e-09 7.5360e-08 7.5360e-08 7.2980e-06 1.4942e-08 3.6490e-08 0.0000e+00 8.8250e-07 3.7020e-04 2.6630e-02 4.5760e-03 1.8900e-08 0.0000e+00 7.0100e-08 7.9740e-05 1.8160e-09 1.8592e-08 1.0580e-07
6.0000e+00 9.9840e-05 1.2940e-06 2.4790e-07 6.8260e-06 3.8650e-06 2.3930e-07 4.6010e-07 2.3130e-08 3.6890e-05 8.3670e-08 9.1080e-07 5.9380e-08 5.9600e-04 8.2280e-07 3.8740e-09 2.9079e-05 7.1361e-07 1.1870e-06 3.6890e-05 4.7600e-06 2.4319e-05 4.2330e-04 4.3080e-08 7.4120e-07 7.4120e-07 6.0100e-05 1.6440e-07 4.6010e-07 0.0000e+00 7.5640e-06 2.9270e-03 1.1270e-01 1.4930e-02 2.1220e-07 0.0000e+00 9.2080e-07 2.5450e-04 2.2110e-08 1.9138e-07 9.1080e-07
7.0000e+00 2.2680e-04 4.5060e-06 1.0380e-06 1.7150e-05 1.1500e-05 1.0030e-06 1.6210e-06 1.2110e-07 7.5830e-05 2.4700e-07 2.2740e-06 2.1010e-07 1.2520e-03 2.1070e-06 2.1190e-08 6.1372e-05 2.6530e-06 3.0150e-06 7.5830e-05 1.2070e-05 4.9302e-05 8.7500e-04 1.4910e-07 2.1690e-06 2.1690e-06 1.3420e-04 5.2300e-07 1.6210e-06 0.0000e+00 1.8560e-05 5.6770e-03 1.4770e-01 1.8780e-02 7.0050e-07 0.0000e+00 4.4210e-06 3.3000e-04 7.2960e-08 5.7712e-07 2.2740e-06
8.0000e+00 3.3160e-04 8.7840e-06 2.2470e-06 2.6720e-05 1.9950e-05 2.1710e-06 3.1730e-06 3.1100e-07 1.0570e-04 4.3340e-07 3.5900e-06 4.1940e-07 1.7690e-03 3.3700e-06 5.5590e-08 8.8150e-05 5.3866e-06 4.8220e-06 1.0570e-04 1.9340e-05 6.8810e-05 1.2050e-03 2.9480e-07 3.8190e-06 3.8190e-06 1.9720e-04 9.7300e-07 3.1730e-06 0.0000e+00 2.9110e-05 7.5790e-03 1.6620e-01 2.0810e-02 1.3340e-06 0.0000e+00 1.1300e-05 3.7720e-04 1.3620e-07 1.0321e-06 3.5900e-06
9.0000e+00 4.0700e-04 1.2960e-05 3.5190e-06 3.4050e-05 2.7200e-05 3.4020e-06 4.6860e-06 5.4450e-07 1.2690e-04 5.9960e-07 4.6530e-06 6.3170e-07 2.1340e-03 4.4000e-06 9.9700e-08 1.0821e-04 8.1482e-06 6.3050e-06 1.2690e-04 2.5290e-05 8.2920e-05 1.4270e-03 4.4240e-07 5.3190e-06 5.3190e-06 2.4430e-04 1.4048e-06 4.6860e-06 0.0000e+00 3.7640e-05 8.8340e-03 1.7750e-01 2.2090e-02 1.9510e-06 0.0000e+00 2.0020e-05 4.1030e-04 1.9510e-07 1.4489e-06 4.6530e-06
1.0000e+01 4.5720e-04 1.6340e-05 4.5910e-06 3.9120e-05 3.2570e-05 4.4410e-06 5.9060e-06 7.6130e-07 1.4130e-04 7.2700e-07 5.4200e-06 8.0850e-07 2.3750e-03 5.1460e-06 1.4240e-07 1.2207e-04 1.0429e-05 7.3860e-06 1.4130e-04 2.9600e-05 9.2470e-05 1.5690e-03 5.6560e-07 6.4900e-06 6.4900e-06 2.7650e-04 1.7538e-06 5.9060e-06 0.0000e+00 4.3800e-05 9.6310e-03 1.8480e-01 2.2920e-02 2.4520e-06 0.0000e+00 2.8340e-05 4.3290e-04 2.4150e-07 1.7750e-06 5.4200e-06
1.1000e+01 4.8620e-04 1.8550e-05 5.3070e-06 4.2120e-05 3.5890e-05 5.1340e-06 6.7000e-06 9.1450e-07 1.4960e-04 8.0770e-07 5.8890e-06 9.2630e-07 2.5140e-03 5.6030e-06 1.7350e-07 1.3031e-04 1.1937e-05 8.0510e-06 1.4960e-04 3.2230e-05 9.8080e-05 1.6490e-03 6.4760e-07 7.2410e-06 7.2410e-06 2.9560e-04 1.9826e-06 6.7000e-06 0.0000e+00 4.7580e-05 1.0080e-02 1.8900e-01 2.3410e-02 2.7800e-06 0.0000e+00 3.4340e-05 4.4640e-04 2.7120e-07 1.9843e-06 5.8890e-06
1.2000e+01 4.9670e-04 1.9390e-05 5.5840e-06 4.3210e-05 3.7130e-05 5.4030e-06 7.0050e-06 9.7560e-07 1.5270e-04 8.3820e-07 6.0630e-06 9.7200e-07 2.5640e-03 5.7730e-06 1.8610e-07 1.3333e-04 1.2518e-05 8.2990e-06 1.5270e-04 3.3210e-05 1.0012e-04 1.6780e-03 6.7950e-07 7.5280e-06 7.5280e-06 3.0250e-04 2.0700e-06 7.0050e-06 0.0000e+00 4.8980e-05 1.0240e-02 1.9050e-01 2.3580e-02 2.9060e-06 0.0000e+00 3.6760e-05 4.5140e-04 2.8250e-07 2.0642e-06 6.0630e-06
1.3000e+01 4.8960e-04 1.8820e-05 5.3960e-06 4.2470e-05 3.6290e-05 5.2200e-06 6.7990e-06 9.3420e-07 1.5060e-04 8.1760e-07 5.9450e-06 9.4100e-07 2.5300e-03 5.6580e-06 1.7760e-07 1.3130e-04 1.2121e-05 8.1320e-06 1.5060e-04 3.2550e-05 9.8750e-05 1.6590e-03 6.5790e-07 7.3340e-06 7.3340e-06 2.9780e-04 2.0120e-06 6.7990e-06 0.0000e+00 4.8030e-05 1.0130e-02 1.8940e-01 2.3460e-02 2.8200e-06 0.0000e+00 3.5120e-05 4.4800e-04 2.7480e-07 2.0103e-06 5.9450e-06
1.4000e+01 4.6440e-04 1.6870e-05 4.7610e-06 3.9850e-05 3.3380e-05 4.6050e-06 6.0960e-06 7.9710e-07 1.4330e-04 7.4650e-07 5.5340e-06 8.3650e-07 2.4090e-03 5.2570e-06 1.4960e-07 1.2409e-04 1.0788e-05 7.5480e-06 1.4330e-04 3.0240e-05 9.3850e-05 1.5890e-03 5.8500e-07 6.6700e-06 6.6700e-06 2.8120e-04 1.8084e-06 6.0960e-06 0.0000e+00 4.4720e-05 9.7430e-03 1.8580e-01 2.3040e-02 2.5300e-06 0.0000e+00 2.9740e-05 4.3620e-04 2.4860e-07 1.8253e-06 5.5340e-06
1.5000e+01 4.1830e-04 1.3680e-05 3.7430e-06 3.5180e-05 2.8370e-05 3.6200e-06 4.9440e-06 5.8860e-07 1.3010e-04 6.2700e-07 4.8210e-06 6.6880e-07 2.1880e-03 4.5630e-06 1.0830e-07 1.1129e-04 8.6278e-06 6.5410e-06 1.3010e-04 2.6240e-05 8.5050e-05 1.4600e-03 4.6830e-07 5.5690e-06 5.5690e-06 2.5150e-04 1.4786e-06 4.9440e-06 0.0000e+00 3.8980e-05 9.0150e-03 1.7920e-01 2.2280e-02 2.0570e-06 0.0000e+00 2.1700e-05 4.1530e-04 2.0500e-07 1.5186e-06 4.8210e-06
1.6000e+01 3.4840e-04 9.6260e-06 2.4970e-06 2.8320e-05 2.1480e-05 2.4140e-06 3.4780e-06 3.5460e-07 1.1040e-04 4.6780e-07 3.8170e-06 4.6150e-07 1.8500e-03 3.5900e-06 6.3670e-08 9.2530e-05 5.9363e-06 5.1370e-06 1.1040e-04 2.0610e-05 7.1920e-05 1.2560e-03 3.2410e-07 4.1270e-06 4.1270e-06 2.0760e-04 1.0604e-06 3.4780e-06 0.0000e+00 3.0930e-05 7.8650e-03 1.6880e-01 2.1100e-02 1.4590e-06 0.0000e+00 1.2910e-05 3.8450e-04 1.4830e-07 1.1176e-06 3.8170e-06
1.7000e+01 2.4930e-04 5.2880e-06 1.2490e-06 1.9130e-05 1.3160e-05 1.2070e-06 1.9050e-06 1.5140e-07 8.2310e-05 2.8290e-07 2.5420e-06 2.4770e-07 1.3640e-03 2.3620e-06 2.6600e-08 6.7050e-05 3.1435e-06 3.3790e-06 8.2310e-05 1.3540e-05 5.3510e-05 9.4840e-04 1.7530e-07 2.4840e-06 2.4840e-06 1.4750e-04 6.0660e-07 1.9050e-06 0.0000e+00 2.0710e-05 6.1050e-03 1.5210e-01 1.9260e-02 8.1710e-07 0.0000e+00 5.5050e-06 3.4050e-04 8.4820e-08 6.6355e-07 2.5420e-06
1.8000e+01 1.2410e-04 1.7610e-06 3.5210e-07 8.6690e-06 5.0950e-06 3.3990e-07 6.2820e-07 3.4260e-08 4.4840e-05 1.0980e-07 1.1530e-06 8.0930e-08 7.2650e-04 1.0480e-06 5.8260e-09 3.5431e-05 9.8553e-07 1.5070e-06 4.4840e-05 6.0380e-06 2.9393e-05 5.1600e-04 5.8390e-08 9.6990e-07 9.6990e-07 7.4270e-05 2.1900e-07 6.2820e-07 0.0000e+00 9.5330e-06 3.5150e-03 1.2170e-01 1.5930e-02 2.8500e-07 0.0000e+00 1.3260e-06 2.7290e-04 2.9790e-08 2.5219e-07 1.1530e-06
1.9000e+01 2.2110e-05 2.0050e-07 3.1710e-08 1.4110e-06 6.7980e-07 3.0590e-08 7.0070e-08 2.7950e-09 8.2220e-06 1.5310e-08 1.8900e-07 9.3220e-09 1.3670e-04 1.6910e-07 4.1920e-10 6.3924e-06 1.0354e-07 2.4390e-07 8.2220e-06 9.6230e-07 5.4301e-06 9.5860e-05 6.9660e-09 1.3810e-07 1.3810e-07 1.3070e-05 2.8140e-08 7.0070e-08 0.0000e+00 1.5820e-06 6.6620e-04 4.8210e-02 7.4290e-03 3.5420e-08 0.0000e+00 1.2940e-07 1.2670e-04 3.5090e-09 3.4462e-08 1.8900e-07
2.0000e+01 2.2790e-08 1.8670e-10 3.1740e-11 1.3660e-09 6.0600e-10 3.0630e-11 6.5410e-11 3.3680e-12 8.2020e-09 1.4360e-11 1.8820e-10 8.9290e-12 1.2980e-07 1.6840e-10 5.5110e-13 6.0155e-09 9.7361e-11 2.4150e-10 8.2020e-09 9.1650e-10 5.0990e-09 9.9080e-08 6.7160e-12 1.3270e-10 1.3270e-10 1.2880e-08 2.5820e-11 6.5410e-11 0.0000e+00 1.5650e-09 6.4910e-07 8.2100e-06 7.2440e-07 3.3700e-11 0.0000e+00 1.4670e-10 1.7870e-08 3.1270e-12 3.2466e-11 1.8820e-10
2.1000e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2000e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3000e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.4000e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
